Date,Open,High,Low,Close,Volume,Trade_count,vwap
2021-11-04 11:15:00+00:00,151.79,151.84,151.77,151.77,11433,147,151.798395
2021-11-04 11:20:00+00:00,151.78,151.8,151.75,151.78,7760,105,151.780035
2021-11-04 11:25:00+00:00,151.77,151.8,151.77,151.77,6229,85,151.777211
2021-11-04 11:30:00+00:00,151.77,151.83,151.77,151.83,8134,78,151.789591
2021-11-04 11:35:00+00:00,151.81,151.82,151.73,151.8,27367,202,151.764096
2021-11-04 11:40:00+00:00,151.82,151.83,151.77,151.78,4479,91,151.803671
2021-11-04 11:45:00+00:00,151.78,151.82,151.77,151.78,6639,129,151.790463
2021-11-04 11:50:00+00:00,151.8,151.9,151.8,151.8,12286,136,151.844127
2021-11-04 11:55:00+00:00,151.81,151.84,151.81,151.84,4242,87,151.824456
2021-11-04 12:00:00+00:00,151.81,151.89,151.112,151.87,34819,211,151.74939
2021-11-04 12:05:00+00:00,151.85,151.88,151.83,151.85,13293,120,151.844905
2021-11-04 12:10:00+00:00,151.85,151.88,151.84,151.84,10733,114,151.851949
2021-11-04 12:15:00+00:00,151.84,151.84,151.76,151.815,17080,215,151.78476
2021-11-04 12:20:00+00:00,151.82,151.84,151.8,151.84,3864,103,151.818478
2021-11-04 12:25:00+00:00,151.82,151.83,151.81,151.81,13221,148,151.818881
2021-11-04 12:30:00+00:00,151.81,151.82,151.71,151.74,36013,378,151.761915
2021-11-04 12:35:00+00:00,151.75,151.75,151.7299,151.7299,8616,144,151.736571
2021-11-04 12:40:00+00:00,151.71,151.73,151.63,151.66,23841,388,151.67593
2021-11-04 12:45:00+00:00,151.67,151.75,151.66,151.74,20359,265,151.66856
2021-11-04 12:50:00+00:00,151.74,151.81,151.74,151.8,24920,265,151.785184
2021-11-04 12:55:00+00:00,151.8,151.81,151.72,151.78,17654,309,151.762862
2021-11-04 13:00:00+00:00,151.79,151.79,151.71,151.71,25112,496,151.749097
2021-11-04 13:05:00+00:00,151.72,151.73,151.64,151.69,20541,462,151.682714
2021-11-04 13:10:00+00:00,151.695,151.76,151.65,151.65,15686,447,151.689513
2021-11-04 13:15:00+00:00,151.66,151.66,151.57,151.58,31067,490,151.60168
2021-11-04 13:20:00+00:00,151.59,151.59,151.55,151.59,37503,452,151.569802
2021-11-04 13:25:00+00:00,151.56,151.67,151.51,151.61,40224,559,151.590891
2021-11-04 13:30:00+00:00,151.62,152.031,151.28,152.01,2985177,25641,151.6287
2021-11-04 13:35:00+00:00,152.01,152.3099,151.91,152.15,1528543,12804,152.102863
2021-11-04 13:40:00+00:00,152.14,152.17,151.68,152.1283,1286889,10720,151.907747
2021-11-04 13:45:00+00:00,152.12,152.33,152.03,152.27,1169515,10446,152.180026
2021-11-04 13:50:00+00:00,152.26,152.3455,152.1248,152.27,858356,7959,152.234709
2021-11-04 13:55:00+00:00,152.27,152.43,151.99,152.075,1090952,9496,152.216686
2021-11-04 14:00:00+00:00,152.08,152.1,151.8,152.05,956679,8336,151.981781
2021-11-04 14:05:00+00:00,152.05,152.06,151.6131,151.6499,855328,8259,151.777362
2021-11-04 14:10:00+00:00,151.6484,151.88,151.55,151.84,853604,7225,151.72483
2021-11-04 14:15:00+00:00,151.848,151.98,151.84,151.9,685132,5989,151.908146
2021-11-04 14:20:00+00:00,151.9026,151.98,151.75,151.8209,645468,6513,151.866384
2021-11-04 14:25:00+00:00,151.83,151.99,151.6553,151.75,682261,6589,151.792743
2021-11-04 14:30:00+00:00,151.75,151.96,151.65,151.88,804093,6270,151.85913
2021-11-04 14:35:00+00:00,151.89,151.94,151.63,151.665,550966,5692,151.76509
2021-11-04 14:40:00+00:00,151.66,151.765,151.57,151.72,581362,5463,151.670887
2021-11-04 14:45:00+00:00,151.725,151.94,151.72,151.905,562530,5098,151.829005
2021-11-04 14:50:00+00:00,151.9001,151.95,151.76,151.765,497936,4613,151.860138
2021-11-04 14:55:00+00:00,151.77,151.99,151.6,151.915,830493,5920,151.816362
2021-11-04 15:00:00+00:00,151.92,151.95,151.61,151.6892,842465,6731,151.74595
2021-11-04 15:05:00+00:00,151.6868,151.77,151.45,151.47,742135,7007,151.632313
2021-11-04 15:10:00+00:00,151.475,151.75,151.46,151.4841,763365,6768,151.618035
2021-11-04 15:15:00+00:00,151.48,151.48,151.24,151.37,953636,7863,151.32484
